Name,URL,Tags,content-type
"As you become an adult, you realize people put things there. People made them happen. The world is a museum of passion projects.",https://x.com/collision/status/1529452415346302976,,others-tweet
Jeff Bezos on writing well,https://x.com/nurijanian/status/1794420863992725972,,others-tweet
"
Intuition is simply reading a lot
","
https://x.com/zaoyang/status/940409514875961344?s=20
",,others-tweet
"
'if you're precise about what you mean, and choose your words carefully, you end up improving language just by speaking and writing'
","
https://twitter.com/visakanv/status/1515773253901746176
",,others-tweet
"
Pick a business, deeply understand the workflows, and solve it
","
https://x.com/levie/status/1699780631151169778?s=20
",,others-tweet
"
The best writers, programmers and artists don't do it because they have to
","
https://x.com/yacineMTB/status/1742947798696272207?s=20
",,others-tweet
"
Specialization is for insects
","
https://x.com/sophianegativa/status/1719791332376350774?s=20
",,others-tweet
"
'Avoid snacking' and seek better and bigger projects
","
https://x.com/tao_lin/status/1732826295514636516?s=20
",,others-tweet
"
Agency is realizing that you can 'just do things'
","
https://x.com/shaiyanhkhan/status/1754197898814689379?s=20
",,others-tweet
"
To expand my sense of agency is to pretend I have permission
","
https://x.com/goblinodds/status/1594830397606699011?s=20
",,others-tweet
"
Applying high agency
","
https://x.com/blader/status/1731570133095924074?s=20
",,others-tweet
"
Build first, optimize later
","
https://x.com/octopichael/status/1759356567147938195?s=20
",,others-tweet
"
Sam Altman on 'bending the world at our will'
","
https://x.com/danallison/status/1731070496299692335?s=20
",,others-tweet
"
A collection of Steve Jobs' quotes
","
https://x.com/visakanv/status/1074945441958027264?s=20
",,others-tweet
"
On making friends
","
https://x.com/kasratweets/status/1707221378854695405?s=20
",,others-tweet
Rozzi Roomian’s depiction of a spiritual experience,https://x.com/sashachapin/status/1800973437634216201,,others-tweet
Civilisations are built by societies. Societies are built by families.,https://x.com/TariqMK_/status/1809974087592063091,,others-tweet
Let the feelings flow,https://x.com/VividVoid_/status/1812865909817753746,,others-tweet
"
Milan Cvitkovic – Things you're allowed to do (and can do in life)
","
https://milan.cvitkovic.net/writing/things_youre_allowed_to_do/
",life,article
"
Alexey Guzey – On (email) follow ups
","
https://guzey.com/follow-up/
",life,article
"
Stepan Parunashvili – What Artists Notice
","
https://stopa.io/post/294
",art,article
"
tegowerk – Serendipity
","
https://tegowerk.eu/posts/serendipity/
",life,article
"
Steve Jobs: Sculley's Disease – 'An idea changes and grows. Most work is in craftmanship'
",https://martinklepsch.org/posts/sculleys-disease.html https://x.com/keshavchan/status/1793286299392328026,"life, technology",article
"
James Hush – 'poke around, find something, redefine yourself'
","
https://news.ycombinator.com/item?id=32921256
",life,article
"
Paul Graham – Life is Short
","
http://paulgraham.com/vb.html
",life,article
"
Paul Graham – Superlinear Returns
","
http://paulgraham.com/superlinear.html
","life, technology",article
"
Dan Luu – 95%-ile isn't that good
","
https://danluu.com/p95-skill/
","life, technology",article
"
A meme about life and the importance to move (simply get out and do things)
","
https://x.com/inflammateomnia/status/1749589692960428049?s=20
",funny,article
"
brycedotvc - Most people won't
","
https://bryce.vc/post/64889707700/most-people-wont
",life,article
"
Ben Kuhn – You don’t need to work on hard problems
","
https://www.benkuhn.net/hard/
","life, technology",article
"
Wikipedia - The purpose of a system is what it does
","
https://en.wikipedia.org/wiki/the_purpose_of_a_system_is_what_it_does
","life, technology",article
"
Moxie Marlinkspike (Founder of Signal) – Career Advice
","
https://moxie.org/2013/01/07/career-advice.html
",life,article
"
Alexey Guzey – What Should You Do with Your Life? Directions and Advice
","
https://guzey.com/personal/what-should-you-do-with-your-life/#cold-emails-and-twitter
",life,article
"
Steve Jobs - Most people do not act. They don't pick the phone up and ask
","
https://youtu.be/zkTf0LmDqKI?t=69
",life,article
,,,
